,RK,TEAM,RECORD,PTS,POLL,SEASON,WEEK,TITLE,TEAM_PARSED
14,13,Mississippi State,0-0,321,USA Today Coaches Poll,2002-03,Preseason,2003 NCAA Men's Basketball Rankings -  Preseason  (Nov. 11),Mississippi State
15,14,Connecticut,0-0,314,USA Today Coaches Poll,2002-03,Preseason,2003 NCAA Men's Basketball Rankings -  Preseason  (Nov. 11),Connecticut
16,15,Maryland,0-0,285,USA Today Coaches Poll,2002-03,Preseason,2003 NCAA Men's Basketball Rankings -  Preseason  (Nov. 11),Maryland
17,16,Georgia,0-0,269,USA Today Coaches Poll,2002-03,Preseason,2003 NCAA Men's Basketball Rankings -  Preseason  (Nov. 11),Georgia
18,17,Kentucky,0-0,262,USA Today Coaches Poll,2002-03,Preseason,2003 NCAA Men's Basketball Rankings -  Preseason  (Nov. 11),Kentucky
19,18,Missouri,0-0,221,USA Today Coaches Poll,2002-03,Preseason,2003 NCAA Men's Basketball Rankings -  Preseason  (Nov. 11),Missouri
20,19,Marquette,0-0,215,USA Today Coaches Poll,2002-03,Preseason,2003 NCAA Men's Basketball Rankings -  Preseason  (Nov. 11),Marquette
21,20,Cincinnati,0-0,168,USA Today Coaches Poll,2002-03,Preseason,2003 NCAA Men's Basketball Rankings -  Preseason  (Nov. 11),Cincinnati
22,21,Indiana,0-0,167,USA Today Coaches Poll,2002-03,Preseason,2003 NCAA Men's Basketball Rankings -  Preseason  (Nov. 11),Indiana
23,22,Gonzaga,0-0,163,USA Today Coaches Poll,2002-03,Preseason,2003 NCAA Men's Basketball Rankings -  Preseason  (Nov. 11),Gonzaga
24,23,Western Kentucky,0-0,151,USA Today Coaches Poll,2002-03,Preseason,2003 NCAA Men's Basketball Rankings -  Preseason  (Nov. 11),Western Kentucky
25,24,Minnesota,0-0,86,USA Today Coaches Poll,2002-03,Preseason,2003 NCAA Men's Basketball Rankings -  Preseason  (Nov. 11),Minnesota
26,25,Illinois,0-0,83,USA Today Coaches Poll,2002-03,Preseason,2003 NCAA Men's Basketball Rankings -  Preseason  (Nov. 11),Illinois
2,1,Arizona (58),0-0,1736,AP Top 25,2002-03,2,2003 NCAA Men's Basketball Rankings -  Week 2 (Nov. 18),Arizona
3,2,Kansas (10),0-0,1679,AP Top 25,2002-03,2,2003 NCAA Men's Basketball Rankings -  Week 2 (Nov. 18),Kansas
4,3,Texas,1-0,1493,AP Top 25,2002-03,2,2003 NCAA Men's Basketball Rankings -  Week 2 (Nov. 18),Texas
5,4,Alabama,1-0,1454,AP Top 25,2002-03,2,2003 NCAA Men's Basketball Rankings -  Week 2 (Nov. 18),Alabama
6,5,Pittsburgh (1),0-0,1419,AP Top 25,2002-03,2,2003 NCAA Men's Basketball Rankings -  Week 2 (Nov. 18),Pittsburgh
7,6,Duke,0-0,1384,AP Top 25,2002-03,2,2003 NCAA Men's Basketball Rankings -  Week 2 (Nov. 18),Duke
8,7,Oklahoma,0-1,1301,AP Top 25,2002-03,2,2003 NCAA Men's Basketball Rankings -  Week 2 (Nov. 18),Oklahoma
9,8,Florida,0-0,1209,AP Top 25,2002-03,2,2003 NCAA Men's Basketball Rankings -  Week 2 (Nov. 18),Florida
10,9,Michigan State,0-0,1116,AP Top 25,2002-03,2,2003 NCAA Men's Basketball Rankings -  Week 2 (Nov. 18),Michigan State
11,10,Oregon,0-0,1024,AP Top 25,2002-03,2,2003 NCAA Men's Basketball Rankings -  Week 2 (Nov. 18),Oregon
12,11,Xavier,0-0,1020,AP Top 25,2002-03,2,2003 NCAA Men's Basketball Rankings -  Week 2 (Nov. 18),Xavier
13,12,Mississippi State (1),0-0,790,AP Top 25,2002-03,2,2003 NCAA Men's Basketball Rankings -  Week 2 (Nov. 18),Mississippi State
14,12,Maryland,0-0,790,AP Top 25,2002-03,2,2003 NCAA Men's Basketball Rankings -  Week 2 (Nov. 18),Maryland
15,14,Connecticut,0-0,735,AP Top 25,2002-03,2,2003 NCAA Men's Basketball Rankings -  Week 2 (Nov. 18),Connecticut
16,15,UCLA,0-0,715,AP Top 25,2002-03,2,2003 NCAA Men's Basketball Rankings -  Week 2 (Nov. 18),UCLA
17,16,Marquette,1-0,630,AP Top 25,2002-03,2,2003 NCAA Men's Basketball Rankings -  Week 2 (Nov. 18),Marquette
18,17,Kentucky,0-0,627,AP Top 25,2002-03,2,2003 NCAA Men's Basketball Rankings -  Week 2 (Nov. 18),Kentucky
19,18,Georgia,0-1,575,AP Top 25,2002-03,2,2003 NCAA Men's Basketball Rankings -  Week 2 (Nov. 18),Georgia
20,19,Western Kentucky,0-0,449,AP Top 25,2002-03,2,2003 NCAA Men's Basketball Rankings -  Week 2 (Nov. 18),Western Kentucky
21,20,Missouri,0-0,437,AP Top 25,2002-03,2,2003 NCAA Men's Basketball Rankings -  Week 2 (Nov. 18),Missouri
22,21,Gonzaga,0-0,374,AP Top 25,2002-03,2,2003 NCAA Men's Basketball Rankings -  Week 2 (Nov. 18),Gonzaga
23,22,Indiana,0-0,368,AP Top 25,2002-03,2,2003 NCAA Men's Basketball Rankings -  Week 2 (Nov. 18),Indiana
24,23,Cincinnati,0-0,277,AP Top 25,2002-03,2,2003 NCAA Men's Basketball Rankings -  Week 2 (Nov. 18),Cincinnati
25,24,Minnesota,0-0,165,AP Top 25,2002-03,2,2003 NCAA Men's Basketball Rankings -  Week 2 (Nov. 18),Minnesota
26,25,Tulsa,0-0,154,AP Top 25,2002-03,2,2003 NCAA Men's Basketball Rankings -  Week 2 (Nov. 18),Tulsa
2,1,Arizona (27),0-0,770,USA Today Coaches Poll,2002-03,2,2003 NCAA Men's Basketball Rankings -  Week 2 (Nov. 18),Arizona
3,2,Kansas (3),0-0,740,USA Today Coaches Poll,2002-03,2,2003 NCAA Men's Basketball Rankings -  Week 2 (Nov. 18),Kansas
4,3,Oklahoma (1),0-1,680,USA Today Coaches Poll,2002-03,2,2003 NCAA Men's Basketball Rankings -  Week 2 (Nov. 18),Oklahoma
5,4,Pittsburgh,0-0,613,USA Today Coaches Poll,2002-03,2,2003 NCAA Men's Basketball Rankings -  Week 2 (Nov. 18),Pittsburgh
6,5,Texas,1-0,583,USA Today Coaches Poll,2002-03,2,2003 NCAA Men's Basketball Rankings -  Week 2 (Nov. 18),Texas
7,6,Duke,0-0,574,USA Today Coaches Poll,2002-03,2,2003 NCAA Men's Basketball Rankings -  Week 2 (Nov. 18),Duke
8,7,Florida,0-0,554,USA Today Coaches Poll,2002-03,2,2003 NCAA Men's Basketball Rankings -  Week 2 (Nov. 18),Florida
9,8,Alabama,1-0,494,USA Today Coaches Poll,2002-03,2,2003 NCAA Men's Basketball Rankings -  Week 2 (Nov. 18),Alabama
10,9,Oregon,0-0,475,USA Today Coaches Poll,2002-03,2,2003 NCAA Men's Basketball Rankings -  Week 2 (Nov. 18),Oregon
