,RK,TEAM,RECORD,PTS,POLL,SEASON,WEEK,TITLE,TEAM_PARSED
22,21,Syracuse,19-11,377,AP Top 25,2005-06,18,2006 NCAA Men's Basketball Rankings -  Week 18 (Mar. 6),Syracuse
23,22,West Virginia,20-9,312,AP Top 25,2005-06,18,2006 NCAA Men's Basketball Rankings -  Week 18 (Mar. 6),West Virginia
24,23,Georgetown,19-8,177,AP Top 25,2005-06,18,2006 NCAA Men's Basketball Rankings -  Week 18 (Mar. 6),Georgetown
25,24,Oklahoma,20-7,131,AP Top 25,2005-06,18,2006 NCAA Men's Basketball Rankings -  Week 18 (Mar. 6),Oklahoma
26,25,UAB,22-5,130,AP Top 25,2005-06,18,2006 NCAA Men's Basketball Rankings -  Week 18 (Mar. 6),UAB
2,1,Duke (27),27-3,770,USA Today Coaches Poll,2005-06,18,2006 NCAA Men's Basketball Rankings -  Week 18 (Mar. 6),Duke
3,2,Connecticut (4),27-2,729,USA Today Coaches Poll,2005-06,18,2006 NCAA Men's Basketball Rankings -  Week 18 (Mar. 6),Connecticut
4,3,Memphis,27-3,708,USA Today Coaches Poll,2005-06,18,2006 NCAA Men's Basketball Rankings -  Week 18 (Mar. 6),Memphis
5,4,Villanova,24-3,692,USA Today Coaches Poll,2005-06,18,2006 NCAA Men's Basketball Rankings -  Week 18 (Mar. 6),Villanova
6,5,Gonzaga,26-3,643,USA Today Coaches Poll,2005-06,18,2006 NCAA Men's Basketball Rankings -  Week 18 (Mar. 6),Gonzaga
7,6,Ohio State,23-4,572,USA Today Coaches Poll,2005-06,18,2006 NCAA Men's Basketball Rankings -  Week 18 (Mar. 6),Ohio State
8,7,Boston College,24-6,536,USA Today Coaches Poll,2005-06,18,2006 NCAA Men's Basketball Rankings -  Week 18 (Mar. 6),Boston College
9,8,UCLA,24-6,531,USA Today Coaches Poll,2005-06,18,2006 NCAA Men's Basketball Rankings -  Week 18 (Mar. 6),UCLA
10,9,Texas,25-5,526,USA Today Coaches Poll,2005-06,18,2006 NCAA Men's Basketball Rankings -  Week 18 (Mar. 6),Texas
11,10,Florida,24-6,474,USA Today Coaches Poll,2005-06,18,2006 NCAA Men's Basketball Rankings -  Week 18 (Mar. 6),Florida
12,11,George Washington,26-1,440,USA Today Coaches Poll,2005-06,18,2006 NCAA Men's Basketball Rankings -  Week 18 (Mar. 6),George Washington
13,12,North Carolina,21-6,432,USA Today Coaches Poll,2005-06,18,2006 NCAA Men's Basketball Rankings -  Week 18 (Mar. 6),North Carolina
14,13,Kansas,22-7,402,USA Today Coaches Poll,2005-06,18,2006 NCAA Men's Basketball Rankings -  Week 18 (Mar. 6),Kansas
15,14,Illinois,25-5,395,USA Today Coaches Poll,2005-06,18,2006 NCAA Men's Basketball Rankings -  Week 18 (Mar. 6),Illinois
16,15,Iowa,22-8,355,USA Today Coaches Poll,2005-06,18,2006 NCAA Men's Basketball Rankings -  Week 18 (Mar. 6),Iowa
17,16,Pittsburgh,21-6,338,USA Today Coaches Poll,2005-06,18,2006 NCAA Men's Basketball Rankings -  Week 18 (Mar. 6),Pittsburgh
18,17,Washington,24-5,247,USA Today Coaches Poll,2005-06,18,2006 NCAA Men's Basketball Rankings -  Week 18 (Mar. 6),Washington
19,18,LSU,22-7,231,USA Today Coaches Poll,2005-06,18,2006 NCAA Men's Basketball Rankings -  Week 18 (Mar. 6),LSU
20,19,Tennessee,21-6,219,USA Today Coaches Poll,2005-06,18,2006 NCAA Men's Basketball Rankings -  Week 18 (Mar. 6),Tennessee
21,20,Oklahoma,20-7,149,USA Today Coaches Poll,2005-06,18,2006 NCAA Men's Basketball Rankings -  Week 18 (Mar. 6),Oklahoma
22,21,Nevada,24-5,126,USA Today Coaches Poll,2005-06,18,2006 NCAA Men's Basketball Rankings -  Week 18 (Mar. 6),Nevada
23,22,Syracuse,19-11,120,USA Today Coaches Poll,2005-06,18,2006 NCAA Men's Basketball Rankings -  Week 18 (Mar. 6),Syracuse
24,23,West Virginia,20-9,98,USA Today Coaches Poll,2005-06,18,2006 NCAA Men's Basketball Rankings -  Week 18 (Mar. 6),West Virginia
25,24,Georgetown,19-8,92,USA Today Coaches Poll,2005-06,18,2006 NCAA Men's Basketball Rankings -  Week 18 (Mar. 6),Georgetown
26,25,UAB,22-5,65,USA Today Coaches Poll,2005-06,18,2006 NCAA Men's Basketball Rankings -  Week 18 (Mar. 6),UAB
2,1,Florida (63),0-0,1788,AP Top 25,2006-07,Preseason,2007 NCAA Men's Basketball Rankings -  Preseason  (Nov. 6),Florida
3,2,North Carolina (9),0-0,1704,AP Top 25,2006-07,Preseason,2007 NCAA Men's Basketball Rankings -  Preseason  (Nov. 6),North Carolina
4,3,Kansas,0-0,1636,AP Top 25,2006-07,Preseason,2007 NCAA Men's Basketball Rankings -  Preseason  (Nov. 6),Kansas
5,4,Pittsburgh,0-0,1407,AP Top 25,2006-07,Preseason,2007 NCAA Men's Basketball Rankings -  Preseason  (Nov. 6),Pittsburgh
6,5,LSU,0-0,1399,AP Top 25,2006-07,Preseason,2007 NCAA Men's Basketball Rankings -  Preseason  (Nov. 6),LSU
7,6,UCLA,0-0,1394,AP Top 25,2006-07,Preseason,2007 NCAA Men's Basketball Rankings -  Preseason  (Nov. 6),UCLA
8,7,Ohio State,0-0,1391,AP Top 25,2006-07,Preseason,2007 NCAA Men's Basketball Rankings -  Preseason  (Nov. 6),Ohio State
9,8,Georgetown,0-0,1271,AP Top 25,2006-07,Preseason,2007 NCAA Men's Basketball Rankings -  Preseason  (Nov. 6),Georgetown
10,9,Wisconsin,0-0,1197,AP Top 25,2006-07,Preseason,2007 NCAA Men's Basketball Rankings -  Preseason  (Nov. 6),Wisconsin
11,10,Arizona,0-0,1157,AP Top 25,2006-07,Preseason,2007 NCAA Men's Basketball Rankings -  Preseason  (Nov. 6),Arizona
12,11,Alabama,0-0,1106,AP Top 25,2006-07,Preseason,2007 NCAA Men's Basketball Rankings -  Preseason  (Nov. 6),Alabama
13,12,Duke,0-0,1051,AP Top 25,2006-07,Preseason,2007 NCAA Men's Basketball Rankings -  Preseason  (Nov. 6),Duke
14,13,Texas A&M,0-0,868,AP Top 25,2006-07,Preseason,2007 NCAA Men's Basketball Rankings -  Preseason  (Nov. 6),Texas A&M
15,14,Memphis,0-0,811,AP Top 25,2006-07,Preseason,2007 NCAA Men's Basketball Rankings -  Preseason  (Nov. 6),Memphis
16,15,Boston College,0-0,772,AP Top 25,2006-07,Preseason,2007 NCAA Men's Basketball Rankings -  Preseason  (Nov. 6),Boston College
17,16,Marquette,0-0,554,AP Top 25,2006-07,Preseason,2007 NCAA Men's Basketball Rankings -  Preseason  (Nov. 6),Marquette
18,17,Washington,0-0,487,AP Top 25,2006-07,Preseason,2007 NCAA Men's Basketball Rankings -  Preseason  (Nov. 6),Washington
19,18,Connecticut,0-0,399,AP Top 25,2006-07,Preseason,2007 NCAA Men's Basketball Rankings -  Preseason  (Nov. 6),Connecticut
20,19,Creighton,0-0,384,AP Top 25,2006-07,Preseason,2007 NCAA Men's Basketball Rankings -  Preseason  (Nov. 6),Creighton
21,20,Syracuse,0-0,367,AP Top 25,2006-07,Preseason,2007 NCAA Men's Basketball Rankings -  Preseason  (Nov. 6),Syracuse
22,21,Texas,0-0,366,AP Top 25,2006-07,Preseason,2007 NCAA Men's Basketball Rankings -  Preseason  (Nov. 6),Texas
23,22,Kentucky,0-0,332,AP Top 25,2006-07,Preseason,2007 NCAA Men's Basketball Rankings -  Preseason  (Nov. 6),Kentucky
24,23,Georgia Tech,0-0,262,AP Top 25,2006-07,Preseason,2007 NCAA Men's Basketball Rankings -  Preseason  (Nov. 6),Georgia Tech
25,24,Nevada,0-0,212,AP Top 25,2006-07,Preseason,2007 NCAA Men's Basketball Rankings -  Preseason  (Nov. 6),Nevada
26,25,Tennessee,0-0,203,AP Top 25,2006-07,Preseason,2007 NCAA Men's Basketball Rankings -  Preseason  (Nov. 6),Tennessee
2,1,Florida (30),0-0,772,USA Today Coaches Poll,2006-07,Preseason,2007 NCAA Men's Basketball Rankings -  Preseason  (Nov. 6),Florida
3,2,North Carolina,0-0,728,USA Today Coaches Poll,2006-07,Preseason,2007 NCAA Men's Basketball Rankings -  Preseason  (Nov. 6),North Carolina
4,3,Kansas,0-0,714,USA Today Coaches Poll,2006-07,Preseason,2007 NCAA Men's Basketball Rankings -  Preseason  (Nov. 6),Kansas
5,4,Ohio State (1),0-0,595,USA Today Coaches Poll,2006-07,Preseason,2007 NCAA Men's Basketball Rankings -  Preseason  (Nov. 6),Ohio State
6,5,Pittsburgh,0-0,583,USA Today Coaches Poll,2006-07,Preseason,2007 NCAA Men's Basketball Rankings -  Preseason  (Nov. 6),Pittsburgh
7,5,UCLA,0-0,583,USA Today Coaches Poll,2006-07,Preseason,2007 NCAA Men's Basketball Rankings -  Preseason  (Nov. 6),UCLA
8,7,LSU,0-0,556,USA Today Coaches Poll,2006-07,Preseason,2007 NCAA Men's Basketball Rankings -  Preseason  (Nov. 6),LSU
9,8,Georgetown,0-0,538,USA Today Coaches Poll,2006-07,Preseason,2007 NCAA Men's Basketball Rankings -  Preseason  (Nov. 6),Georgetown
10,9,Wisconsin,0-0,530,USA Today Coaches Poll,2006-07,Preseason,2007 NCAA Men's Basketball Rankings -  Preseason  (Nov. 6),Wisconsin
11,10,Arizona,0-0,478,USA Today Coaches Poll,2006-07,Preseason,2007 NCAA Men's Basketball Rankings -  Preseason  (Nov. 6),Arizona
12,11,Duke,0-0,477,USA Today Coaches Poll,2006-07,Preseason,2007 NCAA Men's Basketball Rankings -  Preseason  (Nov. 6),Duke
13,12,Alabama,0-0,420,USA Today Coaches Poll,2006-07,Preseason,2007 NCAA Men's Basketball Rankings -  Preseason  (Nov. 6),Alabama
14,13,Texas A&M,0-0,335,USA Today Coaches Poll,2006-07,Preseason,2007 NCAA Men's Basketball Rankings -  Preseason  (Nov. 6),Texas A&M
15,14,Memphis,0-0,328,USA Today Coaches Poll,2006-07,Preseason,2007 NCAA Men's Basketball Rankings -  Preseason  (Nov. 6),Memphis
16,15,Boston College,0-0,284,USA Today Coaches Poll,2006-07,Preseason,2007 NCAA Men's Basketball Rankings -  Preseason  (Nov. 6),Boston College
17,16,Washington,0-0,240,USA Today Coaches Poll,2006-07,Preseason,2007 NCAA Men's Basketball Rankings -  Preseason  (Nov. 6),Washington
18,17,Marquette,0-0,203,USA Today Coaches Poll,2006-07,Preseason,2007 NCAA Men's Basketball Rankings -  Preseason  (Nov. 6),Marquette
19,18,Connecticut,0-0,200,USA Today Coaches Poll,2006-07,Preseason,2007 NCAA Men's Basketball Rankings -  Preseason  (Nov. 6),Connecticut
20,19,Texas,0-0,172,USA Today Coaches Poll,2006-07,Preseason,2007 NCAA Men's Basketball Rankings -  Preseason  (Nov. 6),Texas
21,20,Syracuse,0-0,138,USA Today Coaches Poll,2006-07,Preseason,2007 NCAA Men's Basketball Rankings -  Preseason  (Nov. 6),Syracuse
22,21,Georgia Tech,0-0,137,USA Today Coaches Poll,2006-07,Preseason,2007 NCAA Men's Basketball Rankings -  Preseason  (Nov. 6),Georgia Tech
23,22,Kentucky,0-0,119,USA Today Coaches Poll,2006-07,Preseason,2007 NCAA Men's Basketball Rankings -  Preseason  (Nov. 6),Kentucky
24,23,Creighton,0-0,113,USA Today Coaches Poll,2006-07,Preseason,2007 NCAA Men's Basketball Rankings -  Preseason  (Nov. 6),Creighton
25,24,Tennessee,0-0,106,USA Today Coaches Poll,2006-07,Preseason,2007 NCAA Men's Basketball Rankings -  Preseason  (Nov. 6),Tennessee
26,25,Nevada,0-0,101,USA Today Coaches Poll,2006-07,Preseason,2007 NCAA Men's Basketball Rankings -  Preseason  (Nov. 6),Nevada
2,1,Florida (65),1-0,1790,AP Top 25,2006-07,2,2007 NCAA Men's Basketball Rankings -  Week 2 (Nov. 13),Florida
3,2,North Carolina (7),0-0,1704,AP Top 25,2006-07,2,2007 NCAA Men's Basketball Rankings -  Week 2 (Nov. 13),North Carolina
4,3,Kansas,1-0,1638,AP Top 25,2006-07,2,2007 NCAA Men's Basketball Rankings -  Week 2 (Nov. 13),Kansas
5,4,Pittsburgh,1-0,1421,AP Top 25,2006-07,2,2007 NCAA Men's Basketball Rankings -  Week 2 (Nov. 13),Pittsburgh
6,5,Ohio State,3-0,1418,AP Top 25,2006-07,2,2007 NCAA Men's Basketball Rankings -  Week 2 (Nov. 13),Ohio State
7,6,UCLA,0-0,1403,AP Top 25,2006-07,2,2007 NCAA Men's Basketball Rankings -  Week 2 (Nov. 13),UCLA
8,7,LSU,0-0,1387,AP Top 25,2006-07,2,2007 NCAA Men's Basketball Rankings -  Week 2 (Nov. 13),LSU
9,8,Georgetown,1-0,1265,AP Top 25,2006-07,2,2007 NCAA Men's Basketball Rankings -  Week 2 (Nov. 13),Georgetown
10,9,Wisconsin,1-0,1236,AP Top 25,2006-07,2,2007 NCAA Men's Basketball Rankings -  Week 2 (Nov. 13),Wisconsin
11,10,Alabama,1-0,1131,AP Top 25,2006-07,2,2007 NCAA Men's Basketball Rankings -  Week 2 (Nov. 13),Alabama
12,11,Duke,1-0,1078,AP Top 25,2006-07,2,2007 NCAA Men's Basketball Rankings -  Week 2 (Nov. 13),Duke
13,12,Texas A&M,1-0,923,AP Top 25,2006-07,2,2007 NCAA Men's Basketball Rankings -  Week 2 (Nov. 13),Texas A&M
14,13,Memphis,0-0,832,AP Top 25,2006-07,2,2007 NCAA Men's Basketball Rankings -  Week 2 (Nov. 13),Memphis
15,14,Boston College,1-0,812,AP Top 25,2006-07,2,2007 NCAA Men's Basketball Rankings -  Week 2 (Nov. 13),Boston College
16,15,Arizona,0-1,713,AP Top 25,2006-07,2,2007 NCAA Men's Basketball Rankings -  Week 2 (Nov. 13),Arizona
17,16,Marquette,1-0,589,AP Top 25,2006-07,2,2007 NCAA Men's Basketball Rankings -  Week 2 (Nov. 13),Marquette
18,17,Washington,1-0,554,AP Top 25,2006-07,2,2007 NCAA Men's Basketball Rankings -  Week 2 (Nov. 13),Washington
19,18,Syracuse,3-0,443,AP Top 25,2006-07,2,2007 NCAA Men's Basketball Rankings -  Week 2 (Nov. 13),Syracuse
20,19,Texas,2-0,398,AP Top 25,2006-07,2,2007 NCAA Men's Basketball Rankings -  Week 2 (Nov. 13),Texas
21,20,Creighton,0-0,395,AP Top 25,2006-07,2,2007 NCAA Men's Basketball Rankings -  Week 2 (Nov. 13),Creighton
22,21,Connecticut,1-0,369,AP Top 25,2006-07,2,2007 NCAA Men's Basketball Rankings -  Week 2 (Nov. 13),Connecticut
23,22,Kentucky,0-0,344,AP Top 25,2006-07,2,2007 NCAA Men's Basketball Rankings -  Week 2 (Nov. 13),Kentucky
24,23,Georgia Tech,1-0,283,AP Top 25,2006-07,2,2007 NCAA Men's Basketball Rankings -  Week 2 (Nov. 13),Georgia Tech
25,24,Nevada,1-0,216,AP Top 25,2006-07,2,2007 NCAA Men's Basketball Rankings -  Week 2 (Nov. 13),Nevada
26,25,Tennessee,1-0,199,AP Top 25,2006-07,2,2007 NCAA Men's Basketball Rankings -  Week 2 (Nov. 13),Tennessee
2,1,Florida (30),1-0,772,USA Today Coaches Poll,2006-07,2,2007 NCAA Men's Basketball Rankings -  Week 2 (Nov. 13),Florida
3,2,North Carolina,0-0,729,USA Today Coaches Poll,2006-07,2,2007 NCAA Men's Basketball Rankings -  Week 2 (Nov. 13),North Carolina
4,3,Kansas,1-0,711,USA Today Coaches Poll,2006-07,2,2007 NCAA Men's Basketball Rankings -  Week 2 (Nov. 13),Kansas
5,4,Ohio State (1),3-0,633,USA Today Coaches Poll,2006-07,2,2007 NCAA Men's Basketball Rankings -  Week 2 (Nov. 13),Ohio State
6,5,Pittsburgh,1-0,598,USA Today Coaches Poll,2006-07,2,2007 NCAA Men's Basketball Rankings -  Week 2 (Nov. 13),Pittsburgh
7,6,UCLA,0-0,593,USA Today Coaches Poll,2006-07,2,2007 NCAA Men's Basketball Rankings -  Week 2 (Nov. 13),UCLA
8,7,LSU,0-0,564,USA Today Coaches Poll,2006-07,2,2007 NCAA Men's Basketball Rankings -  Week 2 (Nov. 13),LSU
9,8,Georgetown,1-0,547,USA Today Coaches Poll,2006-07,2,2007 NCAA Men's Basketball Rankings -  Week 2 (Nov. 13),Georgetown
10,9,Wisconsin,1-0,545,USA Today Coaches Poll,2006-07,2,2007 NCAA Men's Basketball Rankings -  Week 2 (Nov. 13),Wisconsin
11,10,Duke,1-0,502,USA Today Coaches Poll,2006-07,2,2007 NCAA Men's Basketball Rankings -  Week 2 (Nov. 13),Duke
12,11,Alabama,1-0,432,USA Today Coaches Poll,2006-07,2,2007 NCAA Men's Basketball Rankings -  Week 2 (Nov. 13),Alabama
13,12,Texas A&M,1-0,362,USA Today Coaches Poll,2006-07,2,2007 NCAA Men's Basketball Rankings -  Week 2 (Nov. 13),Texas A&M
14,13,Memphis,0-0,356,USA Today Coaches Poll,2006-07,2,2007 NCAA Men's Basketball Rankings -  Week 2 (Nov. 13),Memphis
15,14,Boston College,1-0,310,USA Today Coaches Poll,2006-07,2,2007 NCAA Men's Basketball Rankings -  Week 2 (Nov. 13),Boston College
16,15,Washington,1-0,261,USA Today Coaches Poll,2006-07,2,2007 NCAA Men's Basketball Rankings -  Week 2 (Nov. 13),Washington
17,16,Arizona,0-1,258,USA Today Coaches Poll,2006-07,2,2007 NCAA Men's Basketball Rankings -  Week 2 (Nov. 13),Arizona
18,17,Marquette,1-0,226,USA Today Coaches Poll,2006-07,2,2007 NCAA Men's Basketball Rankings -  Week 2 (Nov. 13),Marquette
19,18,Texas,2-0,222,USA Today Coaches Poll,2006-07,2,2007 NCAA Men's Basketball Rankings -  Week 2 (Nov. 13),Texas
20,19,Connecticut,1-0,194,USA Today Coaches Poll,2006-07,2,2007 NCAA Men's Basketball Rankings -  Week 2 (Nov. 13),Connecticut
21,20,Syracuse,3-0,184,USA Today Coaches Poll,2006-07,2,2007 NCAA Men's Basketball Rankings -  Week 2 (Nov. 13),Syracuse
22,21,Georgia Tech,1-0,156,USA Today Coaches Poll,2006-07,2,2007 NCAA Men's Basketball Rankings -  Week 2 (Nov. 13),Georgia Tech
23,22,Kentucky,0-0,121,USA Today Coaches Poll,2006-07,2,2007 NCAA Men's Basketball Rankings -  Week 2 (Nov. 13),Kentucky
24,23,Nevada,1-0,103,USA Today Coaches Poll,2006-07,2,2007 NCAA Men's Basketball Rankings -  Week 2 (Nov. 13),Nevada
25,24,Tennessee,1-0,102,USA Today Coaches Poll,2006-07,2,2007 NCAA Men's Basketball Rankings -  Week 2 (Nov. 13),Tennessee
26,25,Creighton,0-0,89,USA Today Coaches Poll,2006-07,2,2007 NCAA Men's Basketball Rankings -  Week 2 (Nov. 13),Creighton
2,1,Florida (66),4-0,1794,AP Top 25,2006-07,3,2007 NCAA Men's Basketball Rankings -  Week 3 (Nov. 20),Florida
3,2,North Carolina (6),3-0,1720,AP Top 25,2006-07,3,2007 NCAA Men's Basketball Rankings -  Week 3 (Nov. 20),North Carolina
4,3,Pittsburgh,5-0,1519,AP Top 25,2006-07,3,2007 NCAA Men's Basketball Rankings -  Week 3 (Nov. 20),Pittsburgh
5,4,Ohio State,4-0,1518,AP Top 25,2006-07,3,2007 NCAA Men's Basketball Rankings -  Week 3 (Nov. 20),Ohio State
6,5,UCLA,1-0,1488,AP Top 25,2006-07,3,2007 NCAA Men's Basketball Rankings -  Week 3 (Nov. 20),UCLA
7,6,LSU,2-0,1484,AP Top 25,2006-07,3,2007 NCAA Men's Basketball Rankings -  Week 3 (Nov. 20),LSU
8,7,Wisconsin,3-0,1335,AP Top 25,2006-07,3,2007 NCAA Men's Basketball Rankings -  Week 3 (Nov. 20),Wisconsin
9,8,Alabama,3-0,1241,AP Top 25,2006-07,3,2007 NCAA Men's Basketball Rankings -  Week 3 (Nov. 20),Alabama
10,9,Duke,3-0,1197,AP Top 25,2006-07,3,2007 NCAA Men's Basketball Rankings -  Week 3 (Nov. 20),Duke
11,10,Kansas,2-1,1114,AP Top 25,2006-07,3,2007 NCAA Men's Basketball Rankings -  Week 3 (Nov. 20),Kansas
12,11,Texas A&M,4-0,1065,AP Top 25,2006-07,3,2007 NCAA Men's Basketball Rankings -  Week 3 (Nov. 20),Texas A&M
13,12,Memphis,1-0,919,AP Top 25,2006-07,3,2007 NCAA Men's Basketball Rankings -  Week 3 (Nov. 20),Memphis
14,13,Marquette,4-0,716,AP Top 25,2006-07,3,2007 NCAA Men's Basketball Rankings -  Week 3 (Nov. 20),Marquette
15,14,Georgetown,2-1,713,AP Top 25,2006-07,3,2007 NCAA Men's Basketball Rankings -  Week 3 (Nov. 20),Georgetown
16,15,Arizona,2-1,706,AP Top 25,2006-07,3,2007 NCAA Men's Basketball Rankings -  Week 3 (Nov. 20),Arizona
17,16,Washington,4-0,640,AP Top 25,2006-07,3,2007 NCAA Men's Basketball Rankings -  Week 3 (Nov. 20),Washington
18,17,Syracuse,4-0,571,AP Top 25,2006-07,3,2007 NCAA Men's Basketball Rankings -  Week 3 (Nov. 20),Syracuse
19,18,Connecticut,4-0,476,AP Top 25,2006-07,3,2007 NCAA Men's Basketball Rankings -  Week 3 (Nov. 20),Connecticut
20,19,Georgia Tech,3-0,414,AP Top 25,2006-07,3,2007 NCAA Men's Basketball Rankings -  Week 3 (Nov. 20),Georgia Tech
21,20,Kentucky,2-0,400,AP Top 25,2006-07,3,2007 NCAA Men's Basketball Rankings -  Week 3 (Nov. 20),Kentucky
22,21,Nevada,3-0,306,AP Top 25,2006-07,3,2007 NCAA Men's Basketball Rankings -  Week 3 (Nov. 20),Nevada
23,22,Tennessee,4-0,300,AP Top 25,2006-07,3,2007 NCAA Men's Basketball Rankings -  Week 3 (Nov. 20),Tennessee
24,23,Boston College,1-1,266,AP Top 25,2006-07,3,2007 NCAA Men's Basketball Rankings -  Week 3 (Nov. 20),Boston College
25,24,Wichita State,3-0,223,AP Top 25,2006-07,3,2007 NCAA Men's Basketball Rankings -  Week 3 (Nov. 20),Wichita State
26,25,Maryland,5-0,199,AP Top 25,2006-07,3,2007 NCAA Men's Basketball Rankings -  Week 3 (Nov. 20),Maryland
2,1,Florida (30),4-0,774,USA Today Coaches Poll,2006-07,3,2007 NCAA Men's Basketball Rankings -  Week 3 (Nov. 20),Florida
3,2,North Carolina,3-0,738,USA Today Coaches Poll,2006-07,3,2007 NCAA Men's Basketball Rankings -  Week 3 (Nov. 20),North Carolina
4,3,Ohio State (1),4-0,675,USA Today Coaches Poll,2006-07,3,2007 NCAA Men's Basketball Rankings -  Week 3 (Nov. 20),Ohio State
5,4,Pittsburgh,5-0,651,USA Today Coaches Poll,2006-07,3,2007 NCAA Men's Basketball Rankings -  Week 3 (Nov. 20),Pittsburgh
6,5,UCLA,1-0,630,USA Today Coaches Poll,2006-07,3,2007 NCAA Men's Basketball Rankings -  Week 3 (Nov. 20),UCLA
7,6,LSU,2-0,605,USA Today Coaches Poll,2006-07,3,2007 NCAA Men's Basketball Rankings -  Week 3 (Nov. 20),LSU
8,7,Wisconsin,3-0,604,USA Today Coaches Poll,2006-07,3,2007 NCAA Men's Basketball Rankings -  Week 3 (Nov. 20),Wisconsin
9,8,Duke,3-0,537,USA Today Coaches Poll,2006-07,3,2007 NCAA Men's Basketball Rankings -  Week 3 (Nov. 20),Duke
10,9,Alabama,3-0,464,USA Today Coaches Poll,2006-07,3,2007 NCAA Men's Basketball Rankings -  Week 3 (Nov. 20),Alabama
11,10,Texas A&M,4-0,446,USA Today Coaches Poll,2006-07,3,2007 NCAA Men's Basketball Rankings -  Week 3 (Nov. 20),Texas A&M
12,11,Memphis,1-0,419,USA Today Coaches Poll,2006-07,3,2007 NCAA Men's Basketball Rankings -  Week 3 (Nov. 20),Memphis
13,12,Kansas,2-1,408,USA Today Coaches Poll,2006-07,3,2007 NCAA Men's Basketball Rankings -  Week 3 (Nov. 20),Kansas
14,13,Washington,4-0,327,USA Today Coaches Poll,2006-07,3,2007 NCAA Men's Basketball Rankings -  Week 3 (Nov. 20),Washington
15,14,Syracuse,4-0,267,USA Today Coaches Poll,2006-07,3,2007 NCAA Men's Basketball Rankings -  Week 3 (Nov. 20),Syracuse
16,15,Arizona,2-1,249,USA Today Coaches Poll,2006-07,3,2007 NCAA Men's Basketball Rankings -  Week 3 (Nov. 20),Arizona
17,16,Georgetown,2-1,247,USA Today Coaches Poll,2006-07,3,2007 NCAA Men's Basketball Rankings -  Week 3 (Nov. 20),Georgetown
18,17,Marquette,4-0,243,USA Today Coaches Poll,2006-07,3,2007 NCAA Men's Basketball Rankings -  Week 3 (Nov. 20),Marquette
19,18,Connecticut,4-0,222,USA Today Coaches Poll,2006-07,3,2007 NCAA Men's Basketball Rankings -  Week 3 (Nov. 20),Connecticut
20,19,Georgia Tech,3-0,199,USA Today Coaches Poll,2006-07,3,2007 NCAA Men's Basketball Rankings -  Week 3 (Nov. 20),Georgia Tech
21,20,Nevada,3-0,170,USA Today Coaches Poll,2006-07,3,2007 NCAA Men's Basketball Rankings -  Week 3 (Nov. 20),Nevada
22,21,Tennessee,4-0,140,USA Today Coaches Poll,2006-07,3,2007 NCAA Men's Basketball Rankings -  Week 3 (Nov. 20),Tennessee
23,22,Kentucky,2-0,138,USA Today Coaches Poll,2006-07,3,2007 NCAA Men's Basketball Rankings -  Week 3 (Nov. 20),Kentucky
24,23,Gonzaga,4-0,111,USA Today Coaches Poll,2006-07,3,2007 NCAA Men's Basketball Rankings -  Week 3 (Nov. 20),Gonzaga
25,24,Maryland,5-0,107,USA Today Coaches Poll,2006-07,3,2007 NCAA Men's Basketball Rankings -  Week 3 (Nov. 20),Maryland
26,25,Texas,3-1,104,USA Today Coaches Poll,2006-07,3,2007 NCAA Men's Basketball Rankings -  Week 3 (Nov. 20),Texas
2,1,UCLA (36),4-0,1727,AP Top 25,2006-07,4,2007 NCAA Men's Basketball Rankings -  Week 4 (Nov. 27),UCLA
3,2,Pittsburgh (18),6-0,1666,AP Top 25,2006-07,4,2007 NCAA Men's Basketball Rankings -  Week 4 (Nov. 27),Pittsburgh
4,3,Ohio State (15),6-0,1649,AP Top 25,2006-07,4,2007 NCAA Men's Basketball Rankings -  Week 4 (Nov. 27),Ohio State
5,4,Florida (3),6-1,1576,AP Top 25,2006-07,4,2007 NCAA Men's Basketball Rankings -  Week 4 (Nov. 27),Florida
6,5,Kansas,5-1,1490,AP Top 25,2006-07,4,2007 NCAA Men's Basketball Rankings -  Week 4 (Nov. 27),Kansas
7,6,Alabama,5-0,1404,AP Top 25,2006-07,4,2007 NCAA Men's Basketball Rankings -  Week 4 (Nov. 27),Alabama
8,7,North Carolina,4-1,1389,AP Top 25,2006-07,4,2007 NCAA Men's Basketball Rankings -  Week 4 (Nov. 27),North Carolina
9,8,Marquette,6-0,1240,AP Top 25,2006-07,4,2007 NCAA Men's Basketball Rankings -  Week 4 (Nov. 27),Marquette
10,9,Texas A&M,5-0,1213,AP Top 25,2006-07,4,2007 NCAA Men's Basketball Rankings -  Week 4 (Nov. 27),Texas A&M
11,10,LSU,2-1,985,AP Top 25,2006-07,4,2007 NCAA Men's Basketball Rankings -  Week 4 (Nov. 27),LSU
12,11,Duke,5-1,946,AP Top 25,2006-07,4,2007 NCAA Men's Basketball Rankings -  Week 4 (Nov. 27),Duke
13,12,Wisconsin,5-1,807,AP Top 25,2006-07,4,2007 NCAA Men's Basketball Rankings -  Week 4 (Nov. 27),Wisconsin
14,13,Washington,5-0,731,AP Top 25,2006-07,4,2007 NCAA Men's Basketball Rankings -  Week 4 (Nov. 27),Washington
15,14,Memphis,3-1,685,AP Top 25,2006-07,4,2007 NCAA Men's Basketball Rankings -  Week 4 (Nov. 27),Memphis
